movie_title,release_year,director_name,genres
Fundamental Concrete Circuit,1976,Hal Ashby,Comedy|Drama
Inverse Coherent Structure,2011,Nicolas Winding Refn,Crime|Thriller
Ergonomic Integrated Hub,1987,John Hughes,Comedy|Drama
Streamlined B_to_b Project,2008,Danny Boyle,Drama
Multi-Lateral Client-Driven Info-Mediary,1998,Darren Aronofsky,Thriller|Drama
Mandatory Contextually-Based Groupware,2019,Robert Eggers,Horror
Versatile Secondary Software,1970,Federico Fellini,Drama
Cross-Group Needs-Based Policy,1983,David Cronenberg,Horror|Sci-Fi
Exclusive Bandwidth-Monitored Encoding,2001,Jean-Pierre Jeunet,Comedy|Romance
User-Friendly Heuristic Ability,2017,Taika Waititi,Comedy|Action
Sharable Human-Resource Ability,1994,Park Chan-wook,Thriller|Mystery
Seamless Bandwidth-Monitored Flexibility,2006,Bong Joon-ho,Horror|Sci-Fi
Open-Source Holistic Forecast,1974,Mel Brooks,Comedy
Up-Sized Static Budget,2014,Damien Chazelle,Drama
Realigned Full-Range Task-Force,1985,Terry Gilliam,Sci-Fi|Fantasy
Cloned Zero-Tolerance Function,2009,James Cameron,Sci-Fi|Adventure
Robust Client-Server Knowledgeuser,1999,Lana Wachowski,Action|Sci-Fi
Down-Sized Analyzing Open Architecture,2016,Lilly Wachowski,Action|Sci-Fi
Triple-Buffered Contextually-Based Frame,1977,George Lucas,Sci-Fi|Adventure
Decentralized Attitude-Digital Paradigm,2007,Edgar Wright,Action|Comedy
Enterprise-Wide Modular Encoding,1980,John Carpenter,Horror
Function-Based Systemic Initiative,1991,Jonathan Demme,Thriller|Crime
Operative Well-Modulated Toolset,2018,Ari Aster,Horror
Progressive Fresh-Thinking Data-Warehouse,2003,Peter Jackson,Fantasy|Adventure
Quality-Focused Object-Oriented Array,2013,Steve McQueen,Drama
Reactive Methodical Access,1988,John McTiernan,Action|Thriller
Sharable Assimilated Website,2000,Christopher Guest,Comedy|Documentary
Synergized Well-Modulated Standardization,1992,Clint Eastwood,Drama
Stand-Alone Multi-Tiered Product,2010,Christopher Nolan,Sci-Fi|Thriller
Team-Player Regional Core,1971,William Friedkin,Horror|Thriller
Virtual 5Thgeneration Productivity,1982,George A. Romero,Horror
Vision-Oriented Bi-Directional Toolset,2020,Spike Jonze,Romance|Sci-Fi
Balanced Transitional Challenge,1995,Michael Mann,Crime|Thriller
Cross-Platform Motivating Hardware,2004,Alexander Payne,Comedy|Drama
De-Engineered Upward-Trending Open System,1978,Brian De Palma,Horror|Thriller
Diverse Directional Functionality,1986,Oliver Stone,War|Drama
Extended Tangible Monitoring,2015,Todd Haynes,Drama|Romance
Fully-Configurable Neutral Support,1996,Mike Leigh,Comedy|Drama
Grass-Roots 24Hourarchitecture,2012,Andrea Arnold,Drama
Horizontal Local Capacity,1972,Robert Bresson,Drama
Implemented Global Application,2008,Kelly Reichardt,Drama
Innovative Systematic Protocol,1981,Ken Loach,Drama
Inverse 4Thgeneration Graphic Interface,2022,Sarah Polley,Drama
Mandatory Leading-Edge Intranet,1993,Satyajit Ray,Drama
Monitored Responsive Contingency,2005,Jim Jarmusch,Comedy|Drama
Networked Optimal Emulation,1976,John Cassavetes,Drama
Open-Architected Client-Driven Groupware,1987,Wim Wenders,Drama|Fantasy
Operative Logistical Pricing Structure,2002,Gus Van Sant,Drama
Optional Hybrid Internet Solution,2019,Noah Baumbach,Comedy|Drama
Organic Secondary Info-Mediary,1998,Richard Linklater,Comedy|Drama
Organized Optimal Algorithm,1970,Éric Rohmer,Romance|Drama
Persevering Systematic Framework,2011,Lars von Trier,Drama
Phased Heuristic Success,1983,Michael Haneke,Drama|Thriller
Pre-Emptive Incremental Function,2001,Claire Denis,Drama
Profit-Focused Didactic Project,2017,Lucrecia Martel,Drama
Quality-Focused Clear-Thinking Collaboration,1994,Abbas Kiarostami,Drama
Reactive Zero Administration Knowledgebase,2006,Jia Zhangke,Drama
Reduced Fault-Tolerant Concept,2014,Paweł Pawlikowski,Drama
Robust Leading-Edge Forecast,1974,Chantal Akerman,Drama
Self-Enabling Uniform Policy,1985,Leos Carax,Drama|Romance
Switchable Scalable Budget,2009,Gaspar Noé,Drama|Thriller
Team-Oriented Human-Resource Ability,1999,Fatih Akın,Drama
Total Value-Added Flexibility,2016,Yorgos Lanthimos,Thriller|Comedy
Universal Background Initiative,1977,Margarethe von Trotta,Drama
Upgradable Static Software,2007,Cristian Mungiu,Drama
Visionary Client-Server Toolset,1980,Krzysztof Kieślowski,Drama
Ameliorated Holistic Open System,2018,Nadine Labaki,Drama
Assimilated Bi-Directional Internet Solution,1991,Zhang Yimou,Drama|Action
Automated Analyzing Attitude,2003,Hou Hsiao-hsien,Drama
Balanced Needs-Based Task-Force,2013,Asghar Farhadi,Drama
Business-Focused 6Thgeneration Groupware,1988,Edward Yang,Drama|Romance
Centralized Motivating Hub,2000,Apichatpong Weerasethakul,Fantasy|Drama
Cloned Directional Neural-Net,1992,Tsai Ming-liang,Drama
Configurable Well-Modulated Access,2010,Ruben Östlund,Comedy|Drama
Cross-Group Static Portal,1971,Theo Angelopoulos,Drama
Customizable Neutral Emulation,2020,Thomas Vinterberg,Drama|Comedy
Decentralized Logistical Core,1982,Béla Tarr,Drama
De-Engineered Mission-Critical Standardization,1995,Atom Egoyan,Drama
Digitized 24Hourability,2004,Shane Meadows,Drama|Crime
Distributed Upward-Trending Software,1978,Mike Hodges,Crime|Thriller
Down-Sized Secondary Structure,1986,Neil Jordan,Crime|Drama
Enhanced Intermediate Solution,2015,Lenny Abrahamson,Drama
Ergonomic Incremental Projection,1996,Stephen Frears,Comedy|Drama
Exclusive 5Thgeneration Intranet,2012,Peter Strickland,Horror|Thriller
Extended Background Capability,1972,Nicolas Roeg,Thriller|Horror
Face-To-Face Analyzing Monitoring,2008,Ben Wheatley,Horror|Comedy
Front-Line Contextually-Based Pricing Structure,1981,Alan Parker,Drama
Fully-Configurable Assimilated Info-Mediary,2022,Joanna Hogg,Drama
Future-Proofed Bandwidth-Monitored Concept,1993,Sally Potter,Drama|Romance
Grass-Roots Tertiary Knowledgebase,2005,Andrew Haigh,Drama|Romance
Horizontal User-Facing Policy,1976,Ken Russell,Horror|Drama
Implemented Fault-Tolerant Paradigm,1987,Derek Jarman,Drama
Intuitive Multi-State Budget,2002,Michael Winterbottom,Drama|Comedy
Managed Analyzing Framework,2019,Peter Mullan,Drama
Monitored Multi-Tasking Forecast,1998,John Boorman,Adventure|Drama
Multi-Lateral Modular Success,1970,Lindsay Anderson,Drama
Networked Object-Oriented Function,2011,Steve McQueen,Drama
Open-Architected Client-Server Ability,1983,Roland Joffé,War|Drama
Open-Source Clear-Thinking Flexibility,2001,Hugh Hudson,Drama
Operative Didactic Project,2017,Richard Attenborough,Drama
Optional Responsive Collaboration,1994,Anthony Minghella,Romance|War
Organic 4Thgeneration Knowledgeuser,2006,Sam Mendes,Drama
Organized Coherent Array,2014,Tom Hooper,Drama
Persevering Upward-Trending Open Architecture,1974,Guy Ritchie,Crime|Comedy
Phased Client-Driven Frame,1985,Matthew Vaughn,Action|Comedy
Polarized Six-Sigma Encoding,2009,Joe Wright,Drama|Romance
Pre-Emptive Background Toolset,1999,Paul Greengrass,Action|Thriller
Profit-Focused Systemic Data-Warehouse,2016,Justin Kurzel,Action|Drama
Quality-Focused Neutral Access,1977,James Marsh,Documentary|Drama
Reactive Intermediate Emulation,2007,Kevin Macdonald,Thriller|Drama
Re-Engineered Value-Added Groupware,1980,Garth Jennings,Animation|Comedy
Realigned Mobile Internet Solution,2018,John Crowley,Drama|Romance
Reduced Analyzing Info-Mediary,1991,Anand Tucker,Drama|Romance
Reverse-Engineered Full-Range Initiative,2003,Joe Cornish,Sci-Fi|Action
Right-Sized Incremental Neural-Net,2013,Paddy Considine,Drama
Robust User-Facing Portal,1988,Dexter Fletcher,Comedy|Drama
Seamless Context-Sensitive Protocol,2000,Nick Park,Animation|Comedy
Secured Multi-State Standardization,1992,Gurinder Chadha,Comedy|Drama
Sharable 6Thgeneration Success,2010,Sarah Gavron,Drama
Stand-Alone Logistical Task-Force,1971,Amma Asante,Drama|Romance
Streamlined Bottom-Line Toolset,2020,Lone Scherfig,Drama|Romance
Synchronized Leading-Edge Website,1982,Phyllida Lloyd,Drama
Synergistic Didactic Ability,1995,Sharon Maguire,Comedy|Romance
Synergized Non-Volatile Flexibility,2004,Debra Granik,Drama
Team-Player Background Product,1978,Courtney Hunt,Drama
Total 24Hourarchitecture,1986,Tamara Jenkins,Comedy|Drama
Triple-Buffered Heuristic Productivity,2015,Nicole Holofcener,Comedy|Drama
Universal Uniform Challenge,1996,Lisa Cholodenko,Comedy|Drama
Up-Sized Upward-Trending Contingency,2012,Jennifer Kent,Horror
Upgradable Object-Oriented Emulation,1972,Niki Caro,Drama
User-Friendly Needs-Based Focus Group,2008,Mimi Leder,Action|Drama
Versatile Client-Server Graphic Interface,1981,Catherine Hardwicke,Drama
Virtual Responsive Hardware,2022,Patty Jenkins,Action|Fantasy
Vision-Oriented 4Thgeneration Intranet,1993,Gina Prince-Bythewood,Drama|Action
Visionary Zero Administration Knowledgebase,2005,Kasi Lemmons,Drama
Ameliorated Modular Moratorium,1976,Julie Dash,Drama
Assimilated Systemic Open System,1987,Dee Rees,Drama
Automated Incremental Paradigm,2002,Marielle Heller,Comedy|Drama
Balanced Global Budget,2019,Olivia Wilde,Comedy
Business-Focused Client-Driven Framework,1998,Lorene Scafaria,Drama|Comedy
Centralized Value-Added Forecast,1970,Eliza Hittman,Drama
Cloned Scalable Success,2011,Channing Godfrey Peoples,Drama
Configurable Bottom-Line Policy,1983,Nia DaCosta,Horror|Thriller
Cross-Group Fault-Tolerant Project,2001,Janicza Bravo,Comedy|Drama
Customizable High-Level Ability,2017,Chinonye Chukwu,Drama
Decentralized Attitude-Digital Flexibility,1994,Regina King,Drama
De-Engineered Transitional Array,2006,Shaka King,Drama|Crime
Digitized Asymmetric Open Architecture,2014,Radha Blank,Comedy
Distributed Six-Sigma Frame,1974,Tina Gordon,Comedy
Down-Sized Multi-Tasking Encoding,1985,Stella Meghie,Romance|Drama
Enhanced Tertiary Toolset,2009,Angel Kristi Williams,Drama|Romance
Ergonomic Full-Range Data-Warehouse,1999,Christine Swanson,Drama
Exclusive National Access,2016,Cas Sigers-Beedles,Drama
Extended Bi-Directional Emulation,1977,Leslie Small,Comedy
Face-To-Face Analyzing Groupware,2007,Terence Nance,Fantasy|Comedy
Front-Line Well-Modulated Internet Solution,1980,Boots Riley,Comedy|Sci-Fi
Fully-Configurable Real-Time Info-Mediary,2018,Stefon Bristol,Sci-Fi|Action
Future-Proofed Human-Resource Initiative,1991,Rashaad Ernesto Green,Drama
Grass-Roots Responsive Neural-Net,2003,Justin Simien,Comedy|Drama
Horizontal Demand-Driven Portal,2013,Rick Famuyiwa,Comedy|Drama
Implemented Coherent Protocol,1988,Charles Stone III,Comedy|Drama
Intuitive Well-Modulated Standardization,2000,George Tillman Jr.,Drama
Managed Context-Sensitive Success,1992,Theodore Witcher,Romance|Drama
Monitored Directional Task-Force,2010,Tim Story,Comedy|Action
Multi-Lateral Client-Server Toolset,1971,F. Gary Gray,Action|Crime
Networked Fresh-Thinking Website,2020,Antoine Fuqua,Action|Thriller
Open-Architected Holisti,1982,John Singleton,Drama|Crime
Open-Source Heuristic,1995,Ryan Coogler,Drama|Action
Operative System-Wide,2004,Tyler Perry,Comedy|Drama
Optional Eco-Centric,1978,Malcolm D. Lee,Comedy|Romance
Organic Contextually-Based,1986,Forest Whitaker,Drama
Organized Fresh-Thinking,2015,Denzel Washington,Drama
Persevering Re-Engineered,1996,Keenen Ivory Wayans,Comedy
Phased Object-Oriented,2012,Robert Townsend,Comedy
Polarized Clear-Thinking,1972,Bill Duke,Crime|Drama
Pre-Emptive Tangible,2008,Mario Van Peebles,Action|Drama
Profit-Focused Bi-Directional,1981,Melvin Van Peebles,Drama|Crime
Quality-Focused Dynamic,2022,Carl Franklin,Crime|Thriller
Reactive User-Facing,1993,Ernest R. Dickerson,Horror|Thriller
Reduced Analyzing,2005,Rusty Cundieff,Horror|Comedy
Reverse-Engineered Multi-State,1976,Vondie Curtis-Hall,Drama|Crime
Right-Sized Hybrid,1987,Euzhan Palcy,Drama
Robust Client-Driven,2002,Julie Dash,Drama
Seamless Bandwidth-Monitored,2019,Ousmane Sembène,Drama
Secured Multi-Tasking,1998,Djibril Diop Mambéty,Drama
Sharable Human-Resource,1970,Idrissa Ouédraogo,Drama
Stand-Alone Multi-Tiered,2011,Abderrahmane Sissako,Drama
Streamlined B_to_b,1983,Mahamat-Saleh Haroun,Drama
Synchronized User-Facing,2001,Gaston Kaboré,Drama
Synergized Well-Modulated,2017,Souleymane Cissé,Drama
Team-Player Regional,1994,Med Hondo,Drama|War
Total Value-Added,2006,Raoul Peck,Documentary|Drama
Triple-Buffered Contextually-Based,2014,Charles Burnett,Drama
Universal Background,1974,Haile Gerima,Drama
Up-Sized Static,1985,Larry Clark,Drama
Upgradable Static,2009,Gordon Parks,Action|Crime
User-Friendly Heuristic,1999,Spike Lee,Drama
Versatile Secondary,2016,Jordan Peele,Horror|Mystery
Virtual 5Thgeneration,1977,Barry Jenkins,Drama
Vision-Oriented Bi-Directional,2007,Ava DuVernay,Drama
Visionary Client-Server,1980,Ryan Coogler,Action|Sci-Fi
Ameliorated Holistic,2018,Chloé Zhao,Drama
Assimilated Bi-Directional,1991,Greta Gerwig,Comedy|Drama
Automated Analyzing,2003,Quentin Tarantino,Crime|Action
Balanced Needs-Based,2013,Wes Anderson,Comedy|Adventure
Business-Focused 6Thgeneration,1988,Denis Villeneuve,Sci-Fi|Thriller
Centralized Motivating,2000,Martin Scorsese,Crime
